"TIME","GEO","UNIT","LANDCOVER","Value","Flag and Footnotes"
"2018","Belgium","Percentage","Artificial land","11.7",""
"2015","Belgium","Percentage","Artificial land","11.4",""
"2012","Belgium","Percentage","Artificial land","10.8",""
"2009","Belgium","Percentage","Artificial land","9.9",""
"2018","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","62.8","u"
"2015","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","52.5",""
"2012","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","54.3",""
"2009","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","37.2","u"
"2018","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","62.8","u"
"2015","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","52.5",""
"2012","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","54.3",""
"2009","Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Percentage","Artificial land","37.2","u"
"2018","Vlaams Gewest","Percentage","Artificial land","15.6",""
"2015","Vlaams Gewest","Percentage","Artificial land","15.8",""
"2012","Vlaams Gewest","Percentage","Artificial land","15.1",""
"2009","Vlaams Gewest","Percentage","Artificial land","13.9",""
"2018","Prov. Antwerpen","Percentage","Artificial land","18.4",""
"2015","Prov. Antwerpen","Percentage","Artificial land","15.2",""
"2012","Prov. Antwerpen","Percentage","Artificial land","14.2",""
"2009","Prov. Antwerpen","Percentage","Artificial land","13.5",""
"2018","Prov. Limburg (BE)","Percentage","Artificial land","11.7",""
"2015","Prov. Limburg (BE)","Percentage","Artificial land","11.8",""
"2012","Prov. Limburg (BE)","Percentage","Artificial land","11.6",""
"2009","Prov. Limburg (BE)","Percentage","Artificial land","11.2",""
"2018","Prov. Oost-Vlaanderen","Percentage","Artificial land","13.9",""
"2015","Prov. Oost-Vlaanderen","Percentage","Artificial land","17.5",""
"2012","Prov. Oost-Vlaanderen","Percentage","Artificial land","16.8",""
"2009","Prov. Oost-Vlaanderen","Percentage","Artificial land","14.9",""
"2018","Prov. Vlaams-Brabant","Percentage","Artificial land","15.1",""
"2015","Prov. Vlaams-Brabant","Percentage","Artificial land","19.1",""
"2012","Prov. Vlaams-Brabant","Percentage","Artificial land","19.1",""
"2009","Prov. Vlaams-Brabant","Percentage","Artificial land","17.9",""
"2018","Prov. West-Vlaanderen","Percentage","Artificial land","18.1",""
"2015","Prov. West-Vlaanderen","Percentage","Artificial land","15.5",""
"2012","Prov. West-Vlaanderen","Percentage","Artificial land","14.4",""
"2009","Prov. West-Vlaanderen","Percentage","Artificial land","12.5",""
"2018","Région wallonne","Percentage","Artificial land","8.1",""
"2015","Région wallonne","Percentage","Artificial land","7.5",""
"2012","Région wallonne","Percentage","Artificial land","7",""
"2009","Région wallonne","Percentage","Artificial land","6.5",""
"2018","Prov. Brabant wallon","Percentage","Artificial land","13.6",""
"2015","Prov. Brabant wallon","Percentage","Artificial land","13.9",""
"2012","Prov. Brabant wallon","Percentage","Artificial land","13.9",""
"2009","Prov. Brabant wallon","Percentage","Artificial land","11.9",""
"2018","Prov. Hainaut","Percentage","Artificial land","11.3",""
"2015","Prov. Hainaut","Percentage","Artificial land","9.5",""
"2012","Prov. Hainaut","Percentage","Artificial land","8.4",""
"2009","Prov. Hainaut","Percentage","Artificial land","8.3",""
"2018","Prov. Liège","Percentage","Artificial land","10.7",""
"2015","Prov. Liège","Percentage","Artificial land","12",""
"2012","Prov. Liège","Percentage","Artificial land","11.7",""
"2009","Prov. Liège","Percentage","Artificial land","10.7",""
"2018","Prov. Luxembourg (BE)","Percentage","Artificial land","3.5",""
"2015","Prov. Luxembourg (BE)","Percentage","Artificial land","3.1",""
"2012","Prov. Luxembourg (BE)","Percentage","Artificial land","2.9",""
"2009","Prov. Luxembourg (BE)","Percentage","Artificial land","2.8",""
"2018","Prov. Namur","Percentage","Artificial land","6.1",""
"2015","Prov. Namur","Percentage","Artificial land","3.9",""
"2012","Prov. Namur","Percentage","Artificial land","3.6",""
"2009","Prov. Namur","Percentage","Artificial land","3.1",""
"2018","Bulgaria","Percentage","Artificial land","2.3",""
"2015","Bulgaria","Percentage","Artificial land","1.8",""
"2012","Bulgaria","Percentage","Artificial land","1.7",""
"2009","Bulgaria","Percentage","Artificial land",":",""
"2018","Severna i yugoiztochna Bulgaria","Percentage","Artificial land","2.2",""
"2015","Severna i yugoiztochna Bulgaria","Percentage","Artificial land","1.9",""
"2012","Severna i yugoiztochna Bulgaria","Percentage","Artificial land","1.7",""
"2009","Severna i yugoiztochna Bulgaria","Percentage","Artificial land",":",""
"2018","Severozapaden","Percentage","Artificial land","2.4",""
"2015","Severozapaden","Percentage","Artificial land","1.7",""
"2012","Severozapaden","Percentage","Artificial land","1.6",""
"2009","Severozapaden","Percentage","Artificial land",":",""
"2018","Severen tsentralen","Percentage","Artificial land","1.8",""
"2015","Severen tsentralen","Percentage","Artificial land","1.7",""
"2012","Severen tsentralen","Percentage","Artificial land","1.6",""
"2009","Severen tsentralen","Percentage","Artificial land",":",""
"2018","Severoiztochen","Percentage","Artificial land","2.5",""
"2015","Severoiztochen","Percentage","Artificial land","2.5",""
"2012","Severoiztochen","Percentage","Artificial land","2.3",""
"2009","Severoiztochen","Percentage","Artificial land",":",""
"2018","Yugoiztochen","Percentage","Artificial land","2",""
"2015","Yugoiztochen","Percentage","Artificial land","1.7",""
"2012","Yugoiztochen","Percentage","Artificial land","1.6",""
"2009","Yugoiztochen","Percentage","Artificial land",":",""
"2018","Yugozapadna i yuzhna tsentralna Bulgaria","Percentage","Artificial land","2.5",""
"2015","Yugozapadna i yuzhna tsentralna Bulgaria","Percentage","Artificial land","1.8",""
"2012","Yugozapadna i yuzhna tsentralna Bulgaria","Percentage","Artificial land","1.7",""
"2009","Yugozapadna i yuzhna tsentralna Bulgaria","Percentage","Artificial land",":",""
"2018","Yugozapaden","Percentage","Artificial land","2.7",""
"2015","Yugozapaden","Percentage","Artificial land","2",""
"2012","Yugozapaden","Percentage","Artificial land","1.8",""
"2009","Yugozapaden","Percentage","Artificial land",":",""
"2018","Yuzhen tsentralen","Percentage","Artificial land","2.2",""
"2015","Yuzhen tsentralen","Percentage","Artificial land","1.6",""
"2012","Yuzhen tsentralen","Percentage","Artificial land","1.6",""
"2009","Yuzhen tsentralen","Percentage","Artificial land",":",""
"2018","Czechia","Percentage","Artificial land","4.4",""
"2015","Czechia","Percentage","Artificial land","4.6",""
"2012","Czechia","Percentage","Artificial land","4.4",""
"2009","Czechia","Percentage","Artificial land","4.3",""
"2018","Cesko","Percentage","Artificial land","4.4",""
"2015","Cesko","Percentage","Artificial land","4.6",""
"2012","Cesko","Percentage","Artificial land","4.4",""
"2009","Cesko","Percentage","Artificial land","4.3",""
"2018","Praha","Percentage","Artificial land","25.9","u"
"2015","Praha","Percentage","Artificial land","34.2",""
"2012","Praha","Percentage","Artificial land","34.2",""
"2009","Praha","Percentage","Artificial land","33.2",""
"2018","Strední Cechy","Percentage","Artificial land","5",""
"2015","Strední Cechy","Percentage","Artificial land","4.9",""
"2012","Strední Cechy","Percentage","Artificial land","4.7",""
"2009","Strední Cechy","Percentage","Artificial land","4.6",""
"2018","Jihozápad","Percentage","Artificial land","3.4",""
"2015","Jihozápad","Percentage","Artificial land","2.7",""
"2012","Jihozápad","Percentage","Artificial land","2.6",""
"2009","Jihozápad","Percentage","Artificial land","2.5",""
"2018","Severozápad","Percentage","Artificial land","5.3",""
"2015","Severozápad","Percentage","Artificial land","5.2",""
"2012","Severozápad","Percentage","Artificial land","5",""
"2009","Severozápad","Percentage","Artificial land","4.7",""
"2018","Severovýchod","Percentage","Artificial land","3.8",""
"2015","Severovýchod","Percentage","Artificial land","4.1",""
"2012","Severovýchod","Percentage","Artificial land","4",""
"2009","Severovýchod","Percentage","Artificial land","3.9",""
"2018","Jihovýchod","Percentage","Artificial land","3.4",""
"2015","Jihovýchod","Percentage","Artificial land","5.1",""
"2012","Jihovýchod","Percentage","Artificial land","4.8",""
"2009","Jihovýchod","Percentage","Artificial land","4.7",""
"2018","Strední Morava","Percentage","Artificial land","5",""
"2015","Strední Morava","Percentage","Artificial land","4.9",""
"2012","Strední Morava","Percentage","Artificial land","4.5",""
"2009","Strední Morava","Percentage","Artificial land","4.1",""
"2018","Moravskoslezsko","Percentage","Artificial land","5.5",""
"2015","Moravskoslezsko","Percentage","Artificial land","6.1",""
"2012","Moravskoslezsko","Percentage","Artificial land","5.9",""
"2009","Moravskoslezsko","Percentage","Artificial land","5.9",""
"2018","Denmark","Percentage","Artificial land","6.9",""
